food;water;days;money
201;220;15;11890
213;230;15;11720
219;235;15;11635
171;195;15;12315
235;250;16;11365
177;200;15;12230
213;230;15;11720
201;220;15;11890
267;275;15;10875
177;200;15;12230
141;170;15;12740
219;235;15;11635
225;240;15;11550
241;255;16;11295
255;265;15;11100
235;250;16;11365
147;175;15;12655
205;225;16;11825
235;250;16;11365
227;245;17;11505
228;243;15;11505
217;235;16;11655
213;230;15;11720
195;215;15;11975
249;260;15;11090
201;220;15;11890
201;220;15;11890
195;215;15;11975
201;220;15;11890
245;260;17;11170
243;255;15;11270
195;215;15;11975
217;235;16;11655
189;210;15;12060
201;220;15;11890
243;255;15;11210
225;240;15;11550
210;228;15;11760
231;245;15;11465
259;270;16;11050
237;250;15;11340
225;240;15;11550
159;185;15;12485
207;225;15;11805
141;170;15;12740
219;235;15;11635
246;258;15;11190
204;223;15;11845
219;235;15;11635
193;215;16;11995
219;235;15;11635
207;225;15;11805
257;270;17;11015
228;243;15;11505
207;225;15;11805
261;270;15;11030
237;250;15;11340
204;223;15;11845
183;205;15;12145
255;265;15;11100
234;248;15;11400
207;225;15;11805
208;228;16;11780
187;210;16;12080
261;270;15;11010
247;260;16;11130
261;270;15;10970
141;170;15;12740
219;235;15;11635
234;248;15;11400
195;215;15;11975
219;235;15;11635
177;200;15;12230
205;225;16;11825
229;245;16;11485
273;280;15;10840
231;245;15;11465
217;235;16;11655
235;250;16;11365
219;240;18;11610
225;240;15;11550
207;225;15;11805
227;245;17;11505
207;225;15;11805
213;230;15;11720
243;255;15;11270
247;260;16;11130
225;240;15;11550
195;215;15;11975
177;200;15;12230
225;240;15;11550
241;255;16;11295
205;225;16;11825
223;240;16;11570
204;223;15;11845
223;240;16;11570
259;270;16;11055
264;273;15;10960
213;230;15;11720
209;230;17;11760
195;215;15;11975
248;263;17;11120
243;255;15;11270
243;255;15;11210
177;200;15;12230
229;245;16;11485
209;230;17;11760
216;233;15;11675
219;235;15;11635
220;238;16;11610
171;195;15;12315
207;225;15;11805
211;230;16;11740
233;250;17;11390
211;230;16;11740
231;245;15;11465
231;245;15;11465
183;205;15;12145
279;285;15;10730
253;265;16;11125
229;245;16;11485
227;245;17;11505
233;250;17;11390
201;220;15;11890
217;235;16;11655
201;220;15;11890
201;220;15;11890
247;260;16;11165
225;240;15;11550
201;220;15;11890
234;248;15;11400
223;240;16;11570
249;260;15;11140
237;250;15;11340
231;245;15;11465
213;235;18;11695
205;225;16;11825
255;265;15;11075
153;180;15;12570
183;205;15;12145
177;200;15;12230
231;245;15;11465
223;240;16;11570
273;280;15;10860
219;235;15;11635
247;260;16;11190
259;270;16;10995
207;225;15;11805
159;185;15;12485
201;220;15;11890
231;245;15;11465
219;235;15;11635
261;270;15;11030
255;265;15;11100
237;250;15;11340
237;250;15;11340
171;195;15;12315
201;220;15;11890
222;238;15;11590
243;255;15;11210
195;215;15;11975
219;235;15;11635
243;255;15;11210
261;270;15;11030
219;235;15;11635
225;240;15;11550
201;220;15;11890
235;250;16;11365
247;260;16;11130
195;215;15;11975
193;215;16;11995
248;263;17;11045
207;225;15;11805
219;235;15;11635
259;270;16;10995
235;250;16;11365
273;280;15;10860
216;233;15;11675
171;195;15;12315
199;220;16;11910
201;220;15;11890
147;175;15;12655
231;245;15;11465
251;265;17;11125
208;228;16;11780
202;223;16;11865
231;245;15;11465
171;195;15;12315
259;270;16;10995
157;185;16;12505
219;235;15;11635
225;240;15;11550
253;265;16;11125
177;200;15;12230
283;290;16;10710
157;185;16;12505
207;225;15;11805
235;250;16;11365
235;250;16;11365
199;220;16;11910
197;220;17;11930
201;220;15;11890
211;230;16;11740
225;240;15;11550
213;230;15;11720
201;220;15;11890
169;195;16;12335
189;210;15;12060
211;230;16;11740
199;220;16;11910
213;230;15;11720
195;215;15;11975
237;250;15;11340
231;245;15;11465
186;208;15;12100
229;245;16;11485
249;260;15;11200
237;250;15;11340
183;205;15;12145
233;250;17;11390
225;240;15;11550
189;210;15;12060
225;240;15;11550
231;245;15;11465
177;200;15;12230
229;245;16;11485
225;240;15;11550
217;235;16;11655
231;245;15;11465
219;235;15;11635
195;215;15;11975
165;190;15;12400
267;275;15;10875
246;258;15;11190
223;240;16;11570
246;258;15;11190
207;225;15;11805
213;230;15;11720
249;260;15;11090
219;235;15;11635
245;260;17;11190
207;225;15;11805
256;268;16;10970
238;253;16;11295
228;243;15;11505
247;260;16;11130
225;240;15;11550
183;205;15;12145
195;215;15;11975
179;205;17;12185
207;225;15;11805
241;255;16;11235
235;250;16;11365
213;230;15;11720
207;225;15;11805
219;235;15;11635
267;275;15;10785
204;223;15;11845
195;215;15;11975
223;240;16;11570
231;245;15;11465
177;200;15;12230
223;240;16;11570
243;255;15;11210
199;220;16;11910
201;220;15;11890
171;195;15;12315
258;268;15;11050
225;240;15;11550
225;240;15;11550
225;240;15;11550
289;295;16;10545
211;230;16;11740
201;220;15;11890
258;268;15;11050
235;250;16;11365
201;220;15;11890
192;213;15;12015
171;195;15;12315
195;215;15;11975
201;220;15;11890
229;245;16;11485
201;220;15;11890
240;253;15;11330
247;260;16;11225
231;245;15;11465
249;261;15;11065
267;275;15;10875
201;220;15;11890
189;210;15;12060
239;255;17;11320
240;253;15;11330
204;223;15;11845
243;255;15;11210
198;218;15;11930
